Terminal log file
Date: 05.12.2015 - 12:38:43
-----------------------------------------------
09806a:CF<-12:38:52.156> 
02233d:3F<-12:38:55.463> 
02234a:00>+AC+12:38:55.463> 
07485d:00>+63+6C+6B+0F+0C+05+0C+27+00+00+00+00+00+00+00+00+12:39:00.767> 
07754a:00>+63+6C+6B+0F+0C+05+0C+27+00+00+00+00+00+00+00+00+12:39:01.017> 
00718a:D3<-12:39:15.805> 
02099b:6F<+80-02099f:6E>+1F-12:39:17.178> 
02100d:3E>+A9-12:39:17.178> 
02101b:6E>+A3-12:39:17.178> 
02101f:6E>+A9-02609c:3E>+A5-12:39:17.677> 
02610a:3E>+A9-12:39:17.677> 
02776f:3E>+A9-12:39:17.865> 
02783a:6E>+A9-12:39:17.865> 
03453d:3E>+A9-12:39:18.551> 
03464f:6E>+A9-12:39:18.551> 
04130c:3E>+A9-12:39:19.237> 
04147a:6E>+A9-12:39:19.237> 
04807a:3E>+A9-12:39:19.924> 
04828f:6E>+A9-12:39:19.924> 
05483f:3E>+A9-12:39:20.548> 
05510e:6E>+A9-12:39:20.610> 
06160d:3E>+A9-12:39:21.234> 
06192e:6E>+A9-12:39:21.297> 
06837c:3E>+A9-12:39:21.921> 
06874e:6E>+A9-12:39:21.983> 
07514b:3E>+A9-12:39:22.607> 
07556e:6E>+A9-12:39:22.669> 
08190f:3E>+A9-12:39:23.293> 
08238d:6E>+A9-12:39:23.356> 
08867e:3E>+A9-12:39:23.980> 
08920d:6E>+A9-12:39:23.980> 
09236f:6E>+93-12:39:24.354> 
09237e:6E>+96-12:39:24.354> 
09256f:6E>+9C-12:39:24.354> 
09257f:6E>+9A-12:39:24.354> 
09296c:6E>+93-12:39:24.463> 
09297c:6E>+96-12:39:24.463> 
09316e:6E>+9C-12:39:24.463> 
09317e:6E>+9A-12:39:24.463> 
09386c:6E>+93-12:39:24.463> 
09387b:6E>+96-12:39:24.463> 
09406d:6E>+9C-12:39:24.588> 
09407c:6E>+9A-12:39:24.588> 
09426f:6E>+93-12:39:24.588> 
09427e:6E>+96-12:39:24.588> 
09467b:6E>+9C-12:39:24.588> 
09468a:6E>+9A-12:39:24.588> 
09486c:6E>+93-12:39:24.588> 
09487c:6E>+96-12:39:24.588> 
09506d:6E>+9C-12:39:24.588> 
09507d:6E>+9A-12:39:24.588> 
09544c:3E>+A9-12:39:24.775> 
09551d:3E>+93-12:39:24.775> 
09552c:3E>+96-12:39:24.775> 
09573f:3E>+9C-12:39:24.775> 
09574e:3E>+9A-12:39:24.775> 
09602c:6E>+A9-12:39:24.775> 
09700d:3E>+93-12:39:24.775> 
09701c:3E>+96-12:39:24.775> 
09783a:3E>+9C-12:39:24.931> 
09783f:3E>+9A-12:39:24.931> 
09801f:3E>+93-12:39:24.931> 
09802e:3E>+96-12:39:24.931> 
09824d:3E>+9C-12:39:24.931> 
09825d:3E>+9A-12:39:24.931> 
09850d:3E>+93-12:39:24.931> 
09851c:3E>+96-12:39:24.931> 
09892f:3E>+9C-12:39:25.087> 
09893e:3E>+9A-12:39:25.087> 
09911b:3E>+93-12:39:25.087> 
09912a:3E>+96-12:39:25.087> 
09974f:3E>+9C-12:39:25.087> 
09975f:3E>+9A-12:39:25.087> 
09999f:3E>+93-12:39:25.087> 
10000f:3E>+96-12:39:25.087> 
10021d:3E>+9C-12:39:25.087> 
10022c:3E>+9A-12:39:25.087> 
10059f:3E>+93-12:39:25.275> 
10060e:3E>+96-12:39:25.275> 
10081e:3E>+9C-12:39:25.275> 
10082d:3E>+9A-12:39:25.275> 
10149c:3E>+93-12:39:25.275> 
10150b:3E>+96-12:39:25.275> 
10171d:3E>+9C-12:39:25.275> 
